|||||||||||||
Nivel|Agrupador|Apl|MP|MS|ID_Gasto|Descripcion Gasto|Nombre de la cuenta y/o subcuenta Forseti|Nombre de la cuenta y/o subcuenta SAT|Cuenta Forseti|Nat|Acum|Enl|Var
|||||||Activo|Activo|||||
|||||||Activo a corto plazo|Activo a corto plazo|||||
1|101|1|G|G|X|X|Caja|Caja|1010000000000000000|D|1|X|X
2|101.01|0|G|G|X|X|Caja general|Caja y efectivo|1010010000000000000|D|0|X|X
1|102|1|G|G|X|X|Bancos|Bancos|1020000000000000000|D|1|X|X
2|102.01|1|G|G|X|X|Bancos nacionales|Bancos nacionales|1020010000000000000|D|1|X|X
2|102.01|1|G|G|X|X|Traspasos en transito|X|1020900000000000000|D|0|X|CC_TET
2|102.02|1|G|G|X|X|Bancos extranjeros|Bancos extranjeros|1020020000000000000|D|1|X|X
1|103|1|G|G|X|X|Inversiones|Inversiones|1030000000000000000|D|1|X|X
2|103.01|0|G|G|X|X|Inversiones temporales|Inversiones temporales|1030010000000000000|D|0|X|X
2|103.02|0|G|G|X|X|Inversiones en fideicomisos|Inversiones en fideicomisos|1030020000000000000|D|0|X|X
2|103.03|1|G|G|X|X|Inversiones|Otras inversiones|1030030000000000000|D|0|X|X
1|104|1|G|G|X|X|Otros instrumentos financieros|Otros instrumentos financieros|1040000000000000000|D|1|X|X
2|104.01|1|G|G|X|X|Otros instrumentos financieros|Otros instrumentos financieros|1040010000000000000|D|0|X|X
1|105|1|G|G|X|X|Clientes|Clientes|1050000000000000000|D|1|X|X
2|105.01|1|G|G|X|X|Clientes nacionales|Clientes nacionales|1050010000000000000|D|1|X|X
2|105.02|1|G|G|X|X|Clientes extranjeros|Clientes extranjeros|1050020000000000000|D|1|X|X
2|105.03|0|G|G|X|X|Clientes nacionales parte relacionada|Clientes nacionales parte relacionada|1050030000000000000|D|1|X|X
2|105.04|0|G|G|X|X|Clientes extranjeros parte relacionada|Clientes extranjeros parte relacionada|1050040000000000000|D|1|X|X
1|106|1|G|G|X|X|Cuentas y documentos por cobrar a corto plazo|Cuentas y documentos por cobrar a corto plazo|1060000000000000000|D|1|X|X
2|106.01|1|G|G|X|X|Cuentas y documentos por cobrar a corto plazo|Cuentas y documentos por cobrar a corto plazo nacional|1060010000000000000|D|0|X|CC_VENNP
2|106.02|0|G|G|X|X|Cuentas y documentos por cobrar a corto plazo extranjero|Cuentas y documentos por cobrar a corto plazo extranjero|1060020000000000000|D|0|X|X
2|106.03|0|G|G|X|X|Cuentas y documentos por cobrar a corto plazo nacional parte relacionada|Cuentas y documentos por cobrar a corto plazo nacional parte relacionada|1060030000000000000|D|0|X|X
2|106.04|0|G|G|X|X|Cuentas y documentos por cobrar a corto plazo extranjero parte relacionada|Cuentas y documentos por cobrar a corto plazo extranjero parte relacionada|1060040000000000000|D|0|X|X
2|106.05|1|G|G|X|X|Intereses por cobrar a corto plazo|Intereses por cobrar a corto plazo nacional|1060050000000000000|D|0|X|X
2|106.06|0|G|G|X|X|Intereses por cobrar a corto plazo extranjero|Intereses por cobrar a corto plazo extranjero|1060060000000000000|D|0|X|X
2|106.07|0|G|G|X|X|Intereses por cobrar a corto plazo nacional parte relacionada|Intereses por cobrar a corto plazo nacional parte relacionada|1060070000000000000|D|0|X|X
2|106.08|0|G|G|X|X|Intereses por cobrar a corto plazo extranjero parte relacionada|Intereses por cobrar a corto plazo extranjero parte relacionada|1060080000000000000|D|0|X|X
2|106.09|1|G|G|X|X|Otras cuentas y documentos por cobrar a corto plazo|Otras cuentas y documentos por cobrar a corto plazo|1060090000000000000|D|0|X|X
2|106.1|0|G|G|X|X|Otras cuentas y documentos por cobrar a corto plazo parte relacionada|Otras cuentas y documentos por cobrar a corto plazo parte relacionada|1060100000000000000|D|0|X|X
1|107|1|G|G|X|X|Deudores diversos|Deudores diversos|1070000000000000000|D|1|X|X
2|107.01|1|G|G|X|X|Funcionarios y empleados|Funcionarios y empleados|1070010000000000000|D|1|X|X
2|107.02|1|G|G|X|X|Socios y accionistas|Socios y accionistas|1070020000000000000|D|1|X|X
2|107.03|0|G|G|X|X|Partes relacionadas nacionales|Partes relacionadas nacionales|1070030000000000000|D|1|X|X
2|107.04|0|G|G|X|X|Partes relacionadas extranjeros|Partes relacionadas extranjeros|1070040000000000000|D|1|X|X
2|107.05|1|G|G|X|X|Otros deudores diversos|Otros deudores diversos|1070050000000000000|D|1|X|X
1|108|1|G|G|X|X|Estimación de cuentas incobrables|Estimación de cuentas incobrables|1080000000000000000|D|1|X|X
2|108.01|1|G|G|X|X|Estimación de cuentas incobrables|Estimación de cuentas incobrables nacional|1080010000000000000|D|0|X|X
2|108.02|0|G|G|X|X|Estimación de cuentas incobrables extranjero|Estimación de cuentas incobrables extranjero|1080020000000000000|D|0|X|X
2|108.03|0|G|G|X|X|Estimación de cuentas incobrables nacional parte relacionada|Estimación de cuentas incobrables nacional parte relacionada|1080030000000000000|D|0|X|X
2|108.04|0|G|G|X|X|Estimación de cuentas incobrables extranjero parte relacionada|Estimación de cuentas incobrables extranjero parte relacionada|1080040000000000000|D|0|X|X
1|109|1|G|G|X|X|Pagos anticipados|Pagos anticipados|1090000000000000000|D|1|X|X
2|109.01|1|G|G|X|X|Seguros y fianzas pagados por anticipado|Seguros y fianzas pagados por anticipado nacional|1090010000000000000|D|0|X|X
2|109.02|0|G|G|X|X|Seguros y fianzas pagados por anticipado extranjero|Seguros y fianzas pagados por anticipado extranjero|1090020000000000000|D|0|X|X
2|109.03|0|G|G|X|X|Seguros y fianzas pagados por anticipado nacional parte relacionada|Seguros y fianzas pagados por anticipado nacional parte relacionada|1090030000000000000|D|0|X|X
2|109.04|0|G|G|X|X|Seguros y fianzas pagados por anticipado extranjero parte relacionada|Seguros y fianzas pagados por anticipado extranjero parte relacionada|1090040000000000000|D|0|X|X
2|109.05|1|G|G|X|X|Rentas pagados por anticipado|Rentas pagados por anticipado nacional|1090050000000000000|D|0|X|X
2|109.06|0|G|G|X|X|Rentas pagados por anticipado extranjero|Rentas pagados por anticipado extranjero|1090060000000000000|D|0|X|X
2|109.07|0|G|G|X|X|Rentas pagados por anticipado nacional parte relacionada|Rentas pagados por anticipado nacional parte relacionada|1090070000000000000|D|0|X|X
2|109.08|0|G|G|X|X|Rentas pagados por anticipado extranjero parte relacionada|Rentas pagados por anticipado extranjero parte relacionada|1090080000000000000|D|0|X|X
2|109.09|1|G|G|X|X|Intereses pagados por anticipado|Intereses pagados por anticipado nacional|1090090000000000000|D|0|X|X
2|109.1|0|G|G|X|X|Intereses pagados por anticipado extranjero|Intereses pagados por anticipado extranjero|1090100000000000000|D|0|X|X
2|109.11|0|G|G|X|X|Intereses pagados por anticipado nacional parte relacionada|Intereses pagados por anticipado nacional parte relacionada|1090110000000000000|D|0|X|X
2|109.12|0|G|G|X|X|Intereses pagados por anticipado extranjero parte relacionada|Intereses pagados por anticipado extranjero parte relacionada|1090120000000000000|D|0|X|X
2|109.13|1|G|G|X|X|Factoraje financiero pagados por anticipado|Factoraje financiero pagados por anticipado nacional|1090130000000000000|D|0|X|X
2|109.14|0|G|G|X|X|Factoraje financiero pagados por anticipado extranjero|Factoraje financiero pagados por anticipado extranjero|1090140000000000000|D|0|X|X
2|109.15|0|G|G|X|X|Factoraje financiero pagados por anticipado nacional parte relacionada|Factoraje financiero pagados por anticipado nacional parte relacionada|1090150000000000000|D|0|X|X
2|109.16|0|G|G|X|X|Factoraje financiero pagados por anticipado extranjero parte relacionada|Factoraje financiero pagados por anticipado extranjero parte relacionada|1090160000000000000|D|0|X|X
2|109.17|1|G|G|X|X|Arrendamiento financiero pagados por anticipado|Arrendamiento financiero pagados por anticipado nacional|1090170000000000000|D|0|X|X
2|109.18|0|G|G|X|X|Arrendamiento financiero pagados por anticipado extranjero|Arrendamiento financiero pagados por anticipado extranjero|1090180000000000000|D|0|X|X
2|109.19|0|G|G|X|X|Arrendamiento financiero pagados por anticipado nacional parte relacionada|Arrendamiento financiero pagados por anticipado nacional parte relacionada|1090190000000000000|D|0|X|X
2|109.2|0|G|G|X|X|Arrendamiento financiero pagados por anticipado extranjero parte relacionada|Arrendamiento financiero pagados por anticipado extranjero parte relacionada|1090200000000000000|D|0|X|X
2|109.21|1|G|G|X|X|Pérdida por deterioro de pagos anticipados|Pérdida por deterioro de pagos anticipados|1090210000000000000|D|0|X|X
2|109.22|1|G|G|X|X|Derechos fiduciarios|Derechos fiduciarios|1090220000000000000|D|0|X|X
2|109.23|1|G|G|X|X|Otros pagos anticipados|Otros pagos anticipados|1090230000000000000|D|0|X|X
1|110|1|N|G|X|X|Subsidio al empleo por aplicar|Subsidio al empleo por aplicar|1100000000000000000|D|1|X|X
2|110.01|1|N|G|X|X|Subsidio al empleo por aplicar|Subsidio al empleo por aplicar|1100010000000000000|D|0|X|X
1|111|0|G|G|X|X|Crédito al diesel por acreditar|Crédito al diesel por acreditar|1110000000000000000|D|1|X|X
2|111.01|0|G|G|X|X|Crédito al diesel por acreditar|Crédito al diesel por acreditar|1110010000000000000|D|0|X|X
1|112|1|G|G|X|X|Otros estímulos|Otros estímulos|1120000000000000000|D|1|X|X
2|112.01|1|G|G|X|X|Otros estímulos|Otros estímulos|1120010000000000000|D|0|X|X
1|113|1|G|G|X|X|Impuestos a favor|Impuestos a favor|1130000000000000000|D|1|X|X
2|113.01|1|G|G|X|X|IVA a favor|IVA a favor|1130010000000000000|D|0|X|CC_IVARETV
2|113.02|1|G|G|X|X|ISR a favor|ISR a favor|1130020000000000000|D|0|X|CC_ISRRETV
2|113.03|1|G|G|X|X|IETU a favor|IETU a favor|1130030000000000000|D|0|X|X
2|113.04|1|G|G|X|X|IDE a favor|IDE a favor|1130040000000000000|D|0|X|X
2|113.05|1|G|G|X|X|IA a favor|IA a favor|1130050000000000000|D|0|X|X
2|113.06|1|N|G|X|X|Subsidio al empleo|Subsidio al empleo|1130060000000000000|D|0|X|X
2|113.07|1|G|G|X|X|Pago de lo indebido|Pago de lo indebido|1130070000000000000|D|0|X|X
2|113.08|1|G|G|X|X|Otros impuestos a favor|Otros impuestos a favor|1130080000000000000|D|0|X|X
1|114|1|G|G|X|X|Pagos provisionales|Pagos provisionales|1140000000000000000|D|1|X|X
2|114.01|1|G|G|X|X|Pagos provisionales de ISR|Pagos provisionales de ISR|1140010000000000000|D|0|X|X
1|115|1|G|G|X|X|Inventario|Inventario|1150000000000000000|D|1|X|X
2|115.01|1|G|G|X|X|Inventario|Inventario|1150010000000000000|D|0|X|X
2|115.02|1|G|G|X|X|Materia prima y materiales|Materia prima y materiales|1150020000000000000|D|1|X|X
2|115.03|1|G|G|X|X|Productos en proceso de fabricación|Producción en proceso|1150030000000000000|D|0|0;51|X
2|115.04|1|G|G|X|X|Productos terminados|Productos terminados|1150040000000000000|D|1|X|X
2|115.05|1|G|G|X|X|Mercancías en tránsito|Mercancías en tránsito|1150050000000000000|D|0|52;100|X
2|115.06|1|G|G|X|X|Mercancías en poder de terceros|Mercancías en poder de terceros|1150060000000000000|D|0|X|X
2|115.07|1|G|G|X|X|Otros|Otros|1150070000000000000|D|0|X|X
1|116|0|G|G|X|X|Estimación de inventarios obsoletos y de lento movimiento|Estimación de inventarios obsoletos y de lento movimiento|1160000000000000000|D|1|X|X
2|116.01|0|G|G|X|X|Estimación de inventarios obsoletos y de lento movimiento|Estimación de inventarios obsoletos y de lento movimiento|1160010000000000000|D|0|X|X
1|117|1|G|G|X|X|Obras en proceso de inmuebles|Obras en proceso de inmuebles|1170000000000000000|D|1|X|X
2|117.01|1|G|G|X|X|Obras en proceso de inmuebles|Obras en proceso de inmuebles|1170010000000000000|D|0|X|X
1|118|1|G|G|X|X|Impuestos acreditables pagados|Impuestos acreditables pagados|1180000000000000000|D|1|X|X
2|118.01|1|G|G|X|X|IVA acreditable pagado|IVA acreditable pagado|1180010000000000000|D|0|X|CC_IVAAC
2|118.02|0|G|G|X|X|IVA acreditable de importación pagado|IVA acreditable de importación pagado|1180020000000000000|D|0|X|X
2|118.03|1|G|G|X|X|IEPS acreditable pagado|IEPS acreditable pagado|1180030000000000000|D|0|X|CC_IEPSC
2|118.04|0|G|G|X|X|IEPS pagado en importación|IEPS pagado en importación|1180040000000000000|D|0|X|X
1|119|1|G|G|X|X|Impuestos acreditables por pagar|Impuestos acreditables por pagar|1190000000000000000|D|1|X|X
2|119.01|1|G|G|X|X|IVA pendiente de pago|IVA pendiente de pago|1190010000000000000|D|0|X|CC_IVAACPN
2|119.02|0|G|G|X|X|IVA de importación pendiente de pago|IVA de importación pendiente de pago|1190020000000000000|D|0|X|X
2|119.03|1|G|G|X|X|IEPS pendiente de pago|IEPS pendiente de pago|1190030000000000000|D|0|X|CC_IEPSCPN
2|119.04|0|G|G|X|X|IEPS pendiente de pago en importación|IEPS pendiente de pago en importación|1190040000000000000|D|0|X|X
1|120|0|G|G|X|X|Anticipo a proveedores|Anticipo a proveedores|1200000000000000000|D|1|X|X
2|120.01|0|G|G|X|X|Anticipo a proveedores nacional|Anticipo a proveedores nacional|1200010000000000000|D|0|X|X
2|120.02|0|G|G|X|X|Anticipo a proveedores extranjero|Anticipo a proveedores extranjero|1200020000000000000|D|0|X|X
2|120.03|0|G|G|X|X|Anticipo a proveedores nacional parte relacionada|Anticipo a proveedores nacional parte relacionada|1200030000000000000|D|0|X|X
2|120.04|0|G|G|X|X|Anticipo a proveedores extranjero parte relacionada|Anticipo a proveedores extranjero parte relacionada|1200040000000000000|D|0|X|X
1|121|1|G|G|X|X|Otros activos a corto plazo|Otros activos a corto plazo|1210000000000000000|D|1|X|X
2|121.01|1|G|G|X|X|Otros activos a corto plazo|Otros activos a corto plazo|1210010000000000000|D|0|X|X
|||||||Activo a largo plazo|Activo a largo plazo|||||
1|151|1|G|G|X|X|Terrenos|Terrenos|1510000000000000000|D|1|X|X
2|151.01|1|G|G|X|X|Terrenos|Terrenos|1510010000000000000|D|0|X|X
1|152|1|G|G|X|X|Edificios|Edificios|1520000000000000000|D|1|X|X
2|152.01|1|G|G|X|X|Edificios|Edificios|1520010000000000000|D|0|X|X
1|153|1|G|G|X|X|Maquinaria y equipo|Maquinaria y equipo|1530000000000000000|D|1|X|X
2|153.01|1|G|G|MAQ-EQUIPO:1:0:0:0:100|Maquinaria y equipo|Maquinaria y equipo|Maquinaria y equipo|1530010000000000000|D|0|X|X
1|154|1|G|G|X|X|Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques|Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques|1540000000000000000|D|1|X|X
